SMOD_ID,JRC_NAME_MAIN,ISO,CNTRY_NAME,minx,miny,maxx,maxy
30_4929,Gonaïves,HTI,Haiti,-72.72077199599994,19.41580284500003,-72.64258353599996,19.49024543200005
30_11259,Ulyanovsk,RUS,Russia,48.23662084500006,54.22030829100004,48.44112120200003,54.36872194400007
30_3822,Qism Auwal Faqus,EGY,Egypt,31.74368063000003,30.66845611100007,31.85677688100003,30.771256702000073
30_8420,Cooch Behar,IND,India,89.39113647700003,26.26775211300003,89.49792316500003,26.36893924700007
30_12785,Hong Ngu,VNM,Vietnam,105.21335791300004,10.496059625000044,105.45191712200005,10.829873294000038
30_8888,Bergamo,ITA,Italy,9.518252785000072,45.60731604700004,9.781240594000053,45.75546090900008
30_8759,Bandar Abbas,IRN,Iran,56.19119128500006,27.137381395000034,56.39200776000007,27.247321025000076
30_9120,Kisumu,KEN,Kenya,34.74262678800005,-0.1294029069999283,34.812471241000026,-0.0485260769999627
30_6256,Haldwani,IND,India,79.47237550600005,29.148328768000056,79.55808659000007,29.27609409200005
30_7413,Thanjavur,IND,India,79.09504557100007,10.740299744000026,79.18102852600003,10.821729821000076
30_1220,Shihezi,CHN,China,85.96478370100004,44.27125379100005,86.12911447000005,44.37220849700003
30_5191,Probolinggo,IDN,Indonesia,113.07106400200007,-7.805779306999966,113.27382718500007,-7.692153277999978
30_709,Hrodna,BLR,Belarus,23.77397680000007,53.63842695400007,23.88850622600006,53.72699700700008
30_12018,İskenderun,TUR,Turkey,36.084178499000075,36.521477686000026,36.23824241500006,36.653327671000056
30_7875,Bakhtiyarpur,IND,India,85.51811443900004,25.442627741000024,85.75991993100007,25.509903376000068
30_2369,Yongzhou,CHN,China,111.55161157600008,26.402675755000075,111.63655041800007,26.487033410000038
30_10342,Jimeta,NGA,Nigeria,12.37257506900005,9.22715987500004,12.483045803000039,9.292187094000042
30_7141,Basti,IND,India,82.69978444800006,26.77402569900005,82.79689856600004,26.833146403000057
30_4282,Hawassa,ETH,Ethiopia,38.45402748300006,7.01063560800003,38.51459050100004,7.107971036000038
30_12482,Charlotte,USA,United States,-81.00945627799996,35.085316840000075,-80.68710188799997,35.294881289000045
30_11212,Lipetsk,RUS,Russia,39.488814465000075,52.522334029000035,39.74455689500007,52.65883009200007
30_6945,Chandrapur,IND,India,79.25725047800006,19.92061546700006,79.33497925900008,20.028277356000046
30_2397,Guiping,CHN,China,110.03044489100006,23.313788912000064,110.11121502000009,23.422419943000023
30_2766,Xuancheng,CHN,China,118.70214999000007,30.908388797000043,118.82079869500001,30.985558226000023
30_6346,Bhind,IND,India,78.74845046300004,26.537659270000063,78.82338681400006,26.588293606000036
30_9030,Takamatsu,JPN,Japan,133.93056970300006,34.231676450000066,134.2191018630001,34.37082110800003
30_12014,Sivas,TUR,Turkey,36.96036466800007,39.719303170000046,37.06935038100005,39.78184340200005
30_12547,Brick,USA,United States,-74.20879438099996,39.996429044000024,-73.95692062699999,40.381528564000064
30_992,Volta Redonda,BRA,Brazil,-44.225867051999955,-22.587655611999935,-44.036190173999955,-22.462608711999962
30_12325,Ogden,USA,United States,-112.10140013899996,40.96522735800005,-111.87090640299999,41.28933673900008
30_9706,Chimoio,MOZ,Mozambique,33.438872428000025,-19.15122290599993,33.51431777000005,-19.085103278999952
30_5656,Navsari,IND,India,72.88829526700005,20.907200552000063,72.98698222100006,20.96531077000003
30_11568,Kaolack,SEN,Senegal,-16.118929395999942,14.111142303000065,-16.027045572999953,14.18479433400006
30_3280,Butembo,COD,Democratic Republic of the Congo,29.264829485000064,0.07278911900004914,29.33473542100006,0.16984135600006312
30_12535,Rochester,USA,United States,-77.74058014299999,43.04653275600003,-77.52455710299995,43.283441664000065
30_9817,Kota Bharu,MYS,Malaysia,102.19177471800003,6.037691359000064,102.32814062700004,6.167376230000059
30_1797,Jiyuan,CHN,China,112.50321468200002,35.03295743900003,112.63873220100004,35.12895933900006
30_9130,Nakuru,KEN,Kenya,36.039991445000055,-0.33159555099996396,36.09989048700004,-0.26689377899992905
30_11068,Sariwŏn,PRK,North Korea,125.71680445000004,38.48175222800006,125.80007123900009,38.53500500200005
30_2482,Liuyang,CHN,China,113.58302576000006,28.128340184000024,113.66412829000001,28.18773711500006
30_5499,Bathinda,IND,India,74.90135541800004,30.146521394000047,75.00124961500006,30.283320418000073
30_5697,Bhilwara,IND,India,74.56897009900007,25.308119219000048,74.67098865100007,25.37536637200003
30_2817,Yixing,CHN,China,119.7604841650001,31.33740772500005,119.87839760300005,31.414709326000036
30_2912,Longyan,CHN,China,116.95893341400006,25.030873951000046,117.06939077300001,25.165266004000046
30_710,Brest,BLR,Belarus,23.61980051100005,52.045816527000056,23.80549633100003,52.15262623500007
30_6373,Vijayapura,IND,India,75.66129892400005,16.793418949000056,75.76373208400008,16.875661755000067
30_687,রামু Ramu,BGD,Bangladesh,91.94290986700008,21.405569246000027,92.11697387600003,21.47206695400007
30_5300,Kendari,IDN,Indonesia,122.43845994000003,-4.061318170999925,122.60981717900006,-3.956079622999937
